YYYY-MM-DD HH:MM (UTC),f_sol
1/1/2010 0:00,0.9461
1/1/2010 1:00,0.9447
1/1/2010 2:00,0.9405
1/1/2010 3:00,0.9407
1/1/2010 4:00,0.9396
1/1/2010 5:00,0.9383
1/1/2010 6:00,0.9331
1/1/2010 7:00,0.9304
1/1/2010 8:00,0.934
1/1/2010 9:00,0.9333
1/1/2010 10:00,0.934
1/1/2010 11:00,0.9336
1/1/2010 12:00,0.9352
1/1/2010 13:00,0.9366
1/1/2010 14:00,0.9417
1/1/2010 15:00,0.9412
1/1/2010 16:00,0.9422
1/1/2010 17:00,0.9443
1/1/2010 18:00,0.9457
1/1/2010 19:00,0.9484
1/1/2010 20:00,0.9469
1/1/2010 21:00,0.9456
1/1/2010 22:00,0.9502
1/1/2010 23:00,0.9508
1/2/2010 0:00,0.9497
1/2/2010 1:00,0.9482
1/2/2010 2:00,0.9497
1/2/2010 3:00,0.9456
1/2/2010 4:00,0.9472
1/2/2010 5:00,0.9459
1/2/2010 6:00,0.9496
1/2/2010 7:00,0.9492
1/2/2010 8:00,0.9482
1/2/2010 9:00,0.9481
1/2/2010 10:00,0.9502
1/2/2010 11:00,0.947
1/2/2010 12:00,0.9503
1/2/2010 13:00,0.9521
1/2/2010 14:00,0.9508
1/2/2010 15:00,0.9551
1/2/2010 16:00,0.9546
1/2/2010 17:00,0.9528
1/2/2010 18:00,0.9539
1/2/2010 19:00,0.9521
1/2/2010 20:00,0.9544
1/2/2010 21:00,0.9528
1/2/2010 22:00,0.9525
1/2/2010 23:00,0.9519
1/3/2010 0:00,0.9477
1/3/2010 1:00,0.9459
1/3/2010 2:00,0.9471
1/3/2010 3:00,0.9468
1/3/2010 4:00,0.9458
1/3/2010 5:00,0.9462
1/3/2010 6:00,0.9437
1/3/2010 7:00,0.9433
1/3/2010 8:00,0.9436
1/3/2010 9:00,0.9429
1/3/2010 10:00,0.9424
1/3/2010 11:00,0.9383
1/3/2010 12:00,0.9414
1/3/2010 13:00,0.9417
1/3/2010 14:00,0.9438
1/3/2010 15:00,0.9451
1/3/2010 16:00,0.9434
1/3/2010 17:00,0.9476
1/3/2010 18:00,0.9533
1/3/2010 19:00,0.9495
1/3/2010 20:00,0.9507
1/3/2010 21:00,0.9468
1/3/2010 22:00,0.9475
1/3/2010 23:00,0.9436
1/4/2010 0:00,0.9451
1/4/2010 1:00,0.9493
1/4/2010 2:00,0.946
1/4/2010 3:00,0.9442
1/4/2010 4:00,0.9474
1/4/2010 5:00,0.9385
1/4/2010 6:00,0.9388
1/4/2010 7:00,0.9373
1/4/2010 8:00,0.9428
1/4/2010 9:00,0.9386
1/4/2010 10:00,0.9431
1/4/2010 11:00,0.9425
1/4/2010 12:00,0.9406
1/4/2010 13:00,0.9445
1/4/2010 14:00,0.9396
1/4/2010 15:00,0.944
1/4/2010 16:00,0.9393
1/4/2010 17:00,0.9395
1/4/2010 18:00,0.9409
1/4/2010 19:00,0.9398
1/4/2010 20:00,0.9394
1/4/2010 21:00,0.9376
1/4/2010 22:00,0.9381
1/4/2010 23:00,0.9416
1/5/2010 0:00,0.9429
1/5/2010 1:00,0.9459
1/5/2010 2:00,0.9426
1/5/2010 3:00,0.9435
1/5/2010 4:00,0.9401
1/5/2010 5:00,0.9403
1/5/2010 6:00,0.9406
1/5/2010 7:00,0.9375
1/5/2010 8:00,0.9369
1/5/2010 9:00,0.9381
1/5/2010 10:00,0.935
1/5/2010 11:00,0.9315
1/5/2010 12:00,0.934
1/5/2010 13:00,0.9317
1/5/2010 14:00,0.9332
1/5/2010 15:00,0.9335
1/5/2010 16:00,0.9311
1/5/2010 17:00,0.9358
1/5/2010 18:00,0.9364
1/5/2010 19:00,0.9341
1/5/2010 20:00,0.9354
1/5/2010 21:00,0.9364
1/5/2010 22:00,0.9367
1/5/2010 23:00,0.9367
1/6/2010 0:00,0.9399
1/6/2010 1:00,0.937
1/6/2010 2:00,0.9345
1/6/2010 3:00,0.9341
1/6/2010 4:00,0.9359
1/6/2010 5:00,0.9325
1/6/2010 6:00,0.9324
1/6/2010 7:00,0.9315
1/6/2010 8:00,0.93
1/6/2010 9:00,0.9324
1/6/2010 10:00,0.9317
1/6/2010 11:00,0.9326
1/6/2010 12:00,0.9334
1/6/2010 13:00,0.9339
1/6/2010 14:00,0.9341
1/6/2010 15:00,0.9344
1/6/2010 16:00,0.9328
1/6/2010 17:00,0.9323
1/6/2010 18:00,0.9322
1/6/2010 19:00,0.9375
1/6/2010 20:00,0.9364
1/6/2010 21:00,0.9357
1/6/2010 22:00,0.9414
1/6/2010 23:00,0.9408
1/7/2010 0:00,0.9412
1/7/2010 1:00,0.939
1/7/2010 2:00,0.9389
1/7/2010 3:00,0.9404
1/7/2010 4:00,0.9371
1/7/2010 5:00,0.9352
1/7/2010 6:00,0.9368
1/7/2010 7:00,0.9339
1/7/2010 8:00,0.9326
1/7/2010 9:00,0.9372
1/7/2010 10:00,0.9379
1/7/2010 11:00,0.9341
1/7/2010 12:00,0.9312
1/7/2010 13:00,0.9363
1/7/2010 14:00,0.9389
1/7/2010 15:00,0.9413
1/7/2010 16:00,0.9416
1/7/2010 17:00,0.9415
1/7/2010 18:00,0.9412
1/7/2010 19:00,0.9367
1/7/2010 20:00,0.9408
1/7/2010 21:00,0.9382
1/7/2010 22:00,0.9398
1/7/2010 23:00,0.9422
1/8/2010 0:00,0.9442
1/8/2010 1:00,0.942
1/8/2010 2:00,0.943
1/8/2010 3:00,0.9475
1/8/2010 4:00,0.9459
1/8/2010 5:00,0.9475
1/8/2010 6:00,0.9518
1/8/2010 7:00,0.9463
1/8/2010 8:00,0.947
1/8/2010 9:00,0.947
1/8/2010 10:00,0.9517
1/8/2010 11:00,0.9482
1/8/2010 12:00,0.9461
1/8/2010 13:00,0.9476
1/8/2010 14:00,0.9456
1/8/2010 15:00,0.9432
1/8/2010 16:00,0.9393
1/8/2010 17:00,0.9407
1/8/2010 18:00,0.9359
1/8/2010 19:00,0.9344
1/8/2010 20:00,0.9422
1/8/2010 21:00,0.9376
1/8/2010 22:00,0.9426
1/8/2010 23:00,0.9348
1/9/2010 0:00,0.9315
1/9/2010 1:00,0.939
1/9/2010 2:00,0.9339
1/9/2010 3:00,0.9383
1/9/2010 4:00,0.9391
1/9/2010 5:00,0.9377
1/9/2010 6:00,0.9395
1/9/2010 7:00,0.936
1/9/2010 8:00,0.9403
1/9/2010 9:00,0.936
1/9/2010 10:00,0.9353
1/9/2010 11:00,0.9334
1/9/2010 12:00,0.9329
1/9/2010 13:00,0.9307
1/9/2010 14:00,0.9322
1/9/2010 15:00,0.9339
1/9/2010 16:00,0.9345
1/9/2010 17:00,0.9377
1/9/2010 18:00,0.9399
1/9/2010 19:00,0.9404
1/9/2010 20:00,0.9437
1/9/2010 21:00,0.9428
1/9/2010 22:00,0.9453
1/9/2010 23:00,0.9461
1/10/2010 0:00,0.9442
1/10/2010 1:00,0.947
1/10/2010 2:00,0.9457
1/10/2010 3:00,0.9425
1/10/2010 4:00,0.9436
1/10/2010 5:00,0.9417
1/10/2010 6:00,0.9438
1/10/2010 7:00,0.9424
1/10/2010 8:00,0.9401
1/10/2010 9:00,0.9422
1/10/2010 10:00,0.9378
1/10/2010 11:00,0.9317
1/10/2010 12:00,0.9291
1/10/2010 13:00,0.9286
1/10/2010 14:00,0.933
